,Year,Brand,Model,Driven_Kms,Fuel_Type,Transmission_Type,Features,City,Price(L),EMI(month)
4030,2017,Ford,Ecosport AMBIENTE 1.5L PETROL,25973,Petrol,Manual,100% Tyre Life,Gurgaon,5.77,"11,280"
4031,2023,Maruti,Alto K10 VXI PLUS,2430,Petrol,Manual,Regularly Serviced,Gurgaon,5.06,"9,896"
4032,2021,Tata,ALTROZ XM PLUS PETROL,43220,Petrol,Manual,Regularly Serviced,Gurgaon,6.24,"12,199"
4033,2020,Tata,Tiago XE PETROL,22064,Petrol,Manual,Less Driven,Gurgaon,4.61,"9,013"
4034,2022,Tata,TIGOR XZ PLUS CNG,28325,CNG,Manual,Regularly Serviced,Gurgaon,7.02,"13,724"
4035,2017,Maruti,Swift VXI,39133,Petrol,Manual,City Driven,Gurgaon,4.72,"9,228"
4036,2018,Tata,Tiago XT PETROL,48749,Petrol,Manual,City Driven,Gurgaon,3.97,"7,769"
4037,2019,Maruti,New Wagon-R VXI 1.0,64996,Petrol,Manual,Top Model,Gurgaon,4.01,"7,840"
4038,2022,Tata,Tiago XZ PLUS CNG,16750,CNG,Manual,Safety Specs.,Gurgaon,6.65,"13,001"
4039,2015,Maruti,Swift Dzire VXI,95003,Petrol,Manual,,Gurgaon,3.98,"7,781"
4040,2017,Maruti,Wagon R 1.0 LXI,79416,Petrol,Manual,Low Run Cost,Gurgaon,3.23,"6,315"
4041,2015,Toyota,Innova 2.5 GX 8 STR,82593,Diesel,Manual,100% Tyre Life,Gurgaon,10.59,"93,596"
4042,2017,Maruti,Celerio ZXI,30538,Petrol,Manual,City Driven,Gurgaon,4.36,"8,524"
4043,2017,Maruti,Wagon R 1.0 LXI CNG,110029,CNG,Manual,100% Tyre Life,Gurgaon,3.48,"7,730"
4044,2017,Hyundai,Creta SX PLUS 1.6 PETROL,35540,Petrol,Manual,Top Model,Gurgaon,7.62,"14,897"
4045,2017,Maruti,IGNIS DELTA 1.2,57093,Petrol,Manual,Safety Specs.,Gurgaon,4.06,"7,937"
